Period,Dosage_per_1000,Impact_per_1000,Prescriptions_per_1000,Drugs_count,Total_cost_per_1000,Generic_cost_per_1000,Prescribed_dosage,Prescribed_ome
201705,4438.312729187346,290293.90192728123,40.53131646836682,4102.543194630661,367.1943239089342,213.74181659790423,192049.51642923141,28309.60583733052
201706,4401.193271281178,292145.18137861777,40.99272845825362,4136.975238920593,372.2537028654689,213.82377852056067,191768.5743322123,28831.989202198885
201707,4428.300864335805,292353.44766150834,39.66007466788288,4005.097731369389,358.677653337171,205.25400622909902,183805.33596210132,27923.891745811572
201708,4246.793084914002,287389.15121229645,40.47523819173357,4086.0462407102686,360.7997803726758,201.80002662181545,183816.67579574647,28725.70997548056
201709,3959.9847473755653,288664.5794096075,39.666221675969815,3999.726370325731,350.88157211101895,196.2340857253668,181739.15114172158,28031.22147864897
201710,4306.005347451261,289705.7750782645,40.27322994311613,4065.534148921879,356.0413461111668,200.9661612649306,183732.40607882725,28289.426115147446
201711,4446.090680731985,288238.12437437783,40.61607492844575,4096.543556671877,353.0353184779752,196.37069121296966,185983.43442132918,28494.799960460445
201712,4841.4053865616515,282631.7369845578,40.308689398337705,4092.705733642868,356.736593450006,196.33499430760688,182840.45951103643,28800.465780754406
201801,4736.9586964562495,287903.83163181704,40.69113867862756,4117.8107469336655,344.67566058252163,187.92249883816996,184913.99193436137,28552.244081215253
201802,4543.564458093937,281655.3784284506,36.51201619775269,3679.7262487905973,310.462201441355,167.15231999764507,163713.95014121354,25759.906896711014
201803,4239.080076963195,281830.3390996341,40.07552460015952,4031.870305014015,343.07728796601754,184.16557465067856,177911.83403655107,28455.116753723105
201804,3684.142478457646,283461.5548976556,38.053000873630346,3819.862244143741,322.7938613659025,171.5711373312019,167088.23689099148,27108.73809405569
201805,4380.954007337943,283346.5839620679,40.17176918392093,4037.4811534927417,345.87934750878696,185.15026756433141,174524.6918966838,28653.03908957778
201806,4205.406566624404,281032.72864369454,39.235070528751066,3923.211978924052,337.32570092709614,178.8402943896989,169302.08926778226,27999.73500599203
201807,4004.830265823826,280041.1026647349,39.12101718441774,3908.7904305626157,336.28064966286945,178.1360230673669,166964.88547850834,27810.020267737516
201808,4315.700670753721,276067.2790733118,40.39602960181314,4027.5704728571914,355.79374199099436,190.46758358600525,169322.6739761442,28921.648094884848
201809,3858.5307096953607,276104.58195919334,37.45173566832529,3735.1799718393268,326.9807187148691,175.70762943284888,158020.61128851667,26592.768282082536
201810,4496.35650000753,276153.79703278426,40.72176834178081,4076.1211058242743,350.57657882082776,186.29324734125433,171068.69320414358,28930.39686717375
201811,4475.4887485068875,275826.2873516234,39.79787302631207,3977.624574431653,336.7458220410574,176.32758242088457,167626.67658796406,28174.61171325541
201812,4208.5919931652625,274281.085413059,39.53990944122309,3973.695933748883,338.6117547760251,177.6740353662664,172622.74573316408,28172.691211422236
201901,4179.783176241034,273462.3336275795,40.901945930249475,4095.7650117533435,341.0598989231563,181.19874174608273,182802.7553315679,28592.017498808917
201902,3738.216730988325,273157.75216511585,36.69361637952149,3664.126951242582,307.3225835158376,162.21647746263642,158435.85917964944,25715.601167992743
201903,4222.354645810812,273558.0320315928,39.524559483885966,3934.254710131775,332.53109099609964,173.53209157095924,166884.46069267573,27897.796804287977
201904,4391.964013343219,269255.17355513235,39.086839819454276,3889.355066273617,329.9184901458784,173.55250227223988,161059.53942989555,27614.66595515731
201905,5184.629945863791,271688.64903753897,41.14408536023462,4083.220812350302,347.62567035537927,181.47645619504266,168696.2786198681,29130.823822548784
201906,3961.556512239302,271643.8170686639,38.002050958029656,3762.261529236163,319.4702246743721,166.34130482610593,154508.25897478548,26828.664174000223
