Area Codes,All Ages
E01011950,"1,397"
E01011986,"1,232"
E01011987,"1,366"
E01012001,"2,176"
E01011949,"1,945"
E01011980,"1,617"
E01011981,"1,755"
E01011984,"1,235"
E01011985,"1,271"
E01011988,"1,881"
E01011989,"1,813"
E01011990,"1,748"
E01011995,"1,398"
E01011996,"1,433"
E01011997,"2,045"
E01011998,"1,611"
E01011961,"1,428"
E01011962,"1,470"
E01011977,"1,770"
E01011978,"1,567"
E01011979,"1,657"
E01011959,"2,161"
E01011960,"1,338"
E01011963,"1,389"
E01011968,"2,047"
E01011982,"1,301"
E01012003,"1,444"
E01012005,"2,022"
E06000002,"139,509"
E01012068,"2,105"
E01012092,"2,489"
E01012093,"2,073"
E01012094,"2,935"
E01033468,"2,818"
E01012058,"1,436"
E01012059,"1,538"
E01012060,"1,681"
E01012061,"1,416"
E01012036,"1,667"
E01012037,"1,560"
E01012038,"1,611"
E01012039,"1,721"
E01012040,"1,548"
E01012041,"1,024"
E01012074,"1,525"
E01012075,"1,563"
E01012076,"1,556"
E01012077,"1,430"
E01012088,"1,433"
E01012078,"1,469"
E01012079,"1,359"
E01012080,"1,239"
E01012081,"1,816"
E01012026,"1,541"
E01012027,"1,903"
E01033469,"1,861"
E01012015,"1,482"
E01012016,"1,713"
E01012017,"1,519"
E01012089,"1,562"
E01012090,"1,514"
E01012091,"1,702"
E01012011,"1,957"
E01012012,"1,787"
E01012013,"1,437"
E01012014,"1,632"
E01012053,"1,677"
E01012054,"1,791"
E01012055,"1,877"
E01012056,"2,607"
E01012057,"1,996"
E01012082,"1,523"
E01012083,"1,598"
E01012084,"1,607"
E01012085,"1,401"
E01012018,"1,556"
E01012019,"1,328"
E01012020,"1,556"
E01012021,"1,398"
E01012007,"1,475"
E01012008,"1,431"
E01012009,"1,792"
E01012010,"1,404"
E01012046,"1,727"
E01012047,"1,555"
E01012048,"1,745"
E01012049,"1,345"
E01012050,"1,482"
E01012051,"1,368"
E01012052,"1,302"
E01012022,"1,463"
E01012023,"1,288"
E01012024,"1,489"
E01012025,"1,291"
E01012065,"1,716"
E01012066,"1,984"
E01012067,"1,535"
E01012042,"1,414"
E01012043,"1,434"
E01012044,"1,643"
E01012045,"1,544"
E01032552,"1,591"
E01032553,"1,330"
E01012030,"1,509"
E01012031,"1,595"
E01012032,"1,673"
E01012033,"1,229"
E01012034,"1,465"
E01012035,"1,290"
E01012062,"1,429"
E01012063,"1,376"
E01012064,"2,220"
E01012071,"1,385"
E01012073,"1,418"
E01032593,"2,035"
E06000057,"315,263"
E01027376,"1,735"
E01027377,"1,634"
E01027385,"1,288"
E01027387,"1,799"
E01027388,"1,422"
E01027389,"1,666"
E01027378,"1,168"
E01027379,"1,384"
E01027380,"1,434"
E01027382,"1,662"
E01027386,"1,314"
E01027374,"1,980"
E01027375,"1,757"
E01027381,"1,805"
E01027383,"1,252"
E01027384,"1,473"
E01027390,"2,043"
E01027356,"1,734"
E01027357,"1,282"
E01027366,"1,405"
E01027367,"1,832"
E01027358,"1,946"
E01027359,"2,287"
E01033715,"1,012"
E01033717,"1,482"
E01027361,"1,999"
E01027362,"1,241"
E01027363,"1,262"
E01027364,"1,893"
E01027370,"1,755"
E01027371,"1,861"
E01027372,"2,137"
E01027365,"2,193"
E01027368,"1,751"
E01027369,"1,555"
E01027373,"1,984"
E01027443,"1,450"
E01027444,"2,601"
E01027445,"1,588"
E01027446,"1,302"
E01027451,"1,723"
E01027474,"1,919"
E01027475,"1,389"
E01027541,"1,627"
E01027542,"1,951"
E01027543,"1,268"
E01027544,"1,333"
E01027528,"1,333"
E01027529,"1,076"
E01027539,"1,657"
E01027545,"1,996"
E01027546,"1,695"
E01027457,"1,616"
E01027462,"1,936"
E01027463,"1,775"
E01027524,"1,607"
E01027525,"1,636"
E01027526,"1,208"
E01027527,"1,375"
E01027536,"1,384"
E01027533,"1,617"
E01027540,"1,876"
E01027549,"1,760"
E01033716,"2,390"
E01027532,"1,921"
E01027537,"1,352"
E01027538,"1,757"
E01027447,"1,801"
E01027448,"1,931"
E01027450,"1,624"
E01027473,"1,855"
E01027452,"1,374"
E01027453,"1,452"
E01027461,"1,298"
E01033718,"2,119"
E01027530,"1,394"
E01027531,"1,758"
E01027534,"1,852"
E01027535,"1,351"
E01027553,"1,661"
E01027554,"1,335"
E01027455,"1,500"
E01027456,"1,300"
E01027458,"1,769"
E01027460,"1,685"
E01027479,"2,277"
E01027480,"1,227"
E01027503,"1,681"
E01027511,"1,079"
E01027515,"1,375"
E01027517,"1,923"
E01027518,"1,484"
E01027519,"1,438"
E01027550,"1,284"
E01027551,"1,447"
E01027552,"1,228"
E01027514,"1,525"
E01027516,"1,186"
E01027520,"1,499"
E01027521,"1,692"
E01027522,"1,315"
E01027523,"1,170"
E01027392,"1,612"
E01027393,"1,607"
E01027416,"1,557"
E01027424,"2,035"
E01027414,"1,406"
E01027415,"1,571"
E01027431,"1,728"
E01027441,"2,447"
E01027442,"1,565"
E01027391,"1,534"
E01027422,"1,840"
E01027423,"1,521"
E01027429,"1,818"
E01027430,"1,579"
E01027425,"2,850"
E01027426,"1,527"
E01027427,"1,698"
E01027428,"1,453"
E01027437,"1,771"
E01027438,"1,424"
E01027439,"1,914"
E01027440,"1,429"
E01027400,"1,331"
E01027401,"1,464"
E01027402,"1,271"
E01027403,"1,150"
E01027395,"1,617"
E01027396,"1,351"
E01027397,"1,393"
E01027399,"1,470"
E01027404,"1,471"
E01027405,"1,421"
E01027398,"2,318"
E01027409,"1,475"
E01027411,"1,446"
E01027412,"1,545"
E01027413,"1,870"
E01027417,"1,476"
E01027418,"1,898"
E01027419,"1,549"
E01027420,"1,347"
E01027421,"1,483"
E01027394,"1,078"
E01027406,"1,240"
E01027407,"1,258"
E01027408,"1,336"
E01027410,"1,551"
E01027432,"1,567"
E01027433,"2,065"
