Period,Dosage_per_1000,Prescriptions_per_1000,Total_cost_per_1000,Generic_cost_per_1000
201411,5267.756225064994,6.047567058984529,419.4591031560869,304.2340056035072
201412,5138.986994085899,6.26719087649117,483.21558914971683,348.5377813294608
201501,4837.776027641264,6.180763942788637,445.3879012373915,322.4312268783582
201502,4837.7428056131175,6.062144249590728,413.6425411878958,297.9668790071579
201503,4863.817657303688,6.19551676219732,455.2506404787258,327.57104084073933
201504,5159.758715776239,6.147183715753635,450.8023385818072,323.23137308582386
201505,4498.4262893955865,6.134433064693273,444.72428095768106,317.91208808964643
201506,5070.843386227699,6.212008306750597,460.92345167711386,328.46806969140556
201507,30189.53606238585,6.267155750730673,481.3816960259188,341.17627109457806
201508,5610.589675657788,6.098938483711192,437.4028815312249,308.50634570573266
201509,4654.965003542833,6.265662905909556,463.5764919372595,325.3252995801472
201510,5517.309116739842,6.330065987780556,464.03995948665016,322.73441066499566
201511,4724.424807619337,6.256143824814906,435.53190842524555,302.00603218197597
201512,5655.5056460369515,6.413998992487812,489.21537867615893,336.04177411856347
201601,4605.400956793885,6.258181118923725,419.04673550929334,284.1932944958337
201602,4718.297200192446,6.254861734556771,413.8166562457322,283.10869777231915
201603,4854.493026006845,6.330101113541053,436.50403702999824,297.7704244925326
201604,4948.628012627918,6.369775660022261,442.9482108070411,299.4030401591591
201605,5509.807416240072,6.298119108608659,422.4702559889906,283.7939992520671
201606,5343.161596320148,6.388796259331312,434.1300326499215,286.62473581695997
201607,5414.51042425812,6.358043656016308,422.25452709143605,274.57536301287956
201608,4859.22051568782,6.352265468414574,425.0844339858659,271.4687483737871
201609,5150.695950591942,6.401423970229935,431.206587611576,271.45703568894936
201610,4842.298868916304,6.391799511853794,409.49551926139526,254.18291518486478
201611,4931.272989453009,6.4646327762440405,410.71655480077965,256.2228965899894
201612,5256.059033809513,6.535217991962488,428.351224727257,262.4487370699661
201701,5580.9868607747485,6.436778048170028,390.52819642269054,238.6846870950714
201702,5153.822559800452,6.3099213641356044,365.25378757123804,220.40918033528547
201703,5754.606733829257,6.534252033548825,415.9810811951454,248.2082604232313
201704,4578.7067422081855,6.31747340264243,371.9508908850037,217.9205922118917
201705,4987.475773231863,6.471341796498942,395.69605742668386,230.9695501983033
201706,4958.906047667839,6.48200246480974,400.81139821795426,231.09849879700405
201707,4964.191233059305,6.44425983515586,386.5049269411407,221.673365939523
201708,4792.685494834473,6.465949992262673,388.65408834258767,218.21686518078013
201709,4505.148633353336,6.453234466962809,378.5068673232759,212.57858980574207
201710,4900.076813616014,6.496087894768983,384.1996448820735,217.4145590903016
201711,5007.999980004053,6.535288243483483,381.4506652810255,213.09685810785712
201712,5358.316134605467,6.512052552914807,383.8165087175378,212.02553224791544
201801,5299.490946797585,6.528157714102619,372.6879487678135,204.10353834255147
201802,5039.036985542908,6.310167244459083,335.4709295781369,181.5386990426422
201803,4779.037473864962,6.441959097843315,370.64970327777314,199.92420686340142
201804,4215.036358635126,6.344871495829984,346.30718928248393,183.44043792409653
201805,4941.752283918244,6.423166815977494,372.16915094485967,198.76381770580343
201806,4754.344029932242,6.392730344506961,362.6804128871566,192.07204841439767
201807,4553.662354543802,6.36350571177357,362.310625389753,191.8989161753408
201808,4868.417201587004,6.377275009888341,382.53865023539845,204.7514898986478
201809,4384.713829874146,6.272863686811413,351.6705233873553,188.7971757624033
201810,5074.879952836745,6.429524578627426,377.6467644283318,200.59238892562743
201811,5031.798326516695,6.3892880199782685,363.0080584290338,190.30636354610638
201812,4725.071997275367,6.384282599107465,363.6823748540719,190.81660069434153
201901,4733.934099351563,6.450389280362563,367.8015265971647,195.15231609868576
201902,4237.324560479152,6.2575664181150294,331.20550960198676,175.26815839800116
201903,4769.247208702027,6.368897516009839,357.70954030934854,186.67088825619186
201904,4925.589938055923,6.3029137749164805,355.1412630756305,186.97398528220074
201905,5764.361213809809,6.392572278584725,374.47780455004727,195.41707353274117
201906,4496.200406927128,6.254440225430808,344.3224259241184,179.44925564913103
